rho,seq_length,rep,seed,num_trees,wall_s,pi_i_over_pi_s,dxy_over_pi_i,pi_i,pi_s,dxy,fst
200,2938,45,100045,337,0.27,0.6844625710401976,1.9876800176122864,0.005784484421126232,0.008451133291825416,0.011497704096062185,0.3809365072359462
200,2938,46,100046,312,0.22,0.6866546652953989,1.8750217945061092,0.005787004282592918,0.008427823438880079,0.010850759154761911,0.3449846449114693
200,2938,47,100047,317,0.26,0.6935711781448414,1.964087461143175,0.005768588823506532,0.008317226847482774,0.011330012976739839,0.3783848394566254
200,2938,48,100048,338,0.26,0.67319165925012,1.9976998083138127,0.0058703668595931876,0.008720201415050644,0.011727230750141069,0.37791928096629646
200,2938,49,100049,359,0.27,0.6656273628591042,2.052823780939765,0.005784521563134989,0.008690330184577193,0.011874603426162367,0.3905122037245936
200,2938,50,100050,315,0.22,0.6325512232579872,2.0568802686923098,0.005714646615266286,0.009034282766591942,0.011754343865490516,0.3726179210581251
200,2938,51,100051,305,0.22,0.6302090970945396,2.1793327448196815,0.005442954591154595,0.008636743925545207,0.01186200916906983,0.4065213440648574
200,2938,52,100052,312,0.21,0.6468414689176888,2.0792228188172777,0.0054442704815444885,0.008416699830105168,0.01131985141704063,0.38775829288785146
200,2938,53,100053,300,0.24,0.6816927230305938,1.951409590823195,0.00560168454273528,0.008217316033288331,0.01093118094145967,0.3679090735928151
200,2938,54,100054,324,0.28,0.6452306763247827,2.074899033823328,0.005532761254815245,0.008574857733562376,0.011479920981991295,0.3855524349641243
200,2938,55,100055,330,0.24,0.7086500440663783,1.8725052924110706,0.005856911290954484,0.008264885242010758,0.010967097389494427,0.3561743809035216
200,2938,56,100056,344,0.25,0.6130960799801233,1.970316280331357,0.005856383459984688,0.009552146313143208,0.011538927675071113,0.3323240162768013
200,2938,57,100057,302,0.19,0.6705016230096986,2.0049605477768657,0.005301882889595329,0.007907337890990665,0.010630066022571842,0.37868585422999335
200,2938,58,100058,328,0.22,0.695729210686175,1.8763020014544929,0.005821326250951338,0.00836722989568018,0.010922566095779575,0.3504934636141087
200,2938,59,100059,317,0.25,0.6531092556101828,2.0653631672764794,0.005333131971055275,0.008165757758359541,0.011014854339242177,0.3872415688093638
200,2938,60,100060,308,0.18,0.6355967177548615,1.9600950854001746,0.0054088122991000605,0.008509817857785327,0.010601786405318048,0.3435714687713596
200,2938,61,100061,321,0.23,0.7286926833884207,1.7514686508350625,0.00579912649974239,0.007958260912922102,0.010156988266525661,0.32276246404632314
200,2938,62,100062,344,0.27,0.6314542913514346,2.068554390444864,0.0054522673368495875,0.008634460817711253,0.011278311537519342,0.37549481109389504
200,2938,63,100063,337,0.24,0.6763366579704982,1.8881498123953333,0.005991329816032225,0.00885850226425782,0.011312528268139813,0.34365547080609005
200,2938,64,100064,296,0.21,0.5895792266845071,2.1436314327430366,0.005499360940011594,0.009327602960058811,0.011788602971008144,0.37113142513432085
200,2938,65,100065,295,0.19,0.6920174012639797,2.0015836879896236,0.0062255804315910065,0.008996277290455261,0.01246102024013996,0.38922104977355776
200,2938,66,100066,328,0.22,0.6787380037259823,1.824805857098363,0.005440351912397092,0.008015393100919472,0.009927586034418494,0.3223052932169965
200,2938,67,100067,305,0.21,0.7389973438076388,1.8396273668365477,0.006343010715797644,0.008583265919625188,0.011668776100918826,0.36041807185556063
